0.0 0.0023794467925755338 239
6499252.438584656 -155328291589671.84 -410608046230.8735 2070564619.8495398
6519825.805323781 -30659929353148.99 -413395649326.60126 2062342532.4011414
6540317.160960506 -129710567143165.77 -412714762080.4502 2054102010.016749
6560726.444983675 17540649862947.738 -415472150486.13416 2045845591.8953936
6581053.401393479 -60481234086419.39 -414520744776.62476 2037578055.6223886
6601298.064808554 108077617875889.52 -416801032216.50525 2029306263.1286526
6621460.315861721 44728167417787.766 -415094331011.85583 2021039188.3330812
6641540.367857496 227870355401196.2 -416472359452.39294 2012787259.4691024
6661538.309072438 163001297044063.25 -413557891422.58606 2004562350.2534363
6681454.589236812 342558948172287.06 -413722723906.31036 1996376183.7810373
6701289.530053793 246728642411152.1 -409358188742.4563 1988240127.8517396
6721043.807605739 406552777832854.5 -408492981000.13477 1980162481.4225671
6740717.908842072 280558099050273.6 -403191021428.8203 1972149587.4874356
6760312.63614487 412270691174036.56 -401709138734.1332 1964204799.1827147
6779828.543230162 266773214995935.4 -396156085693.11115 1956328683.2613187
6799266.443765034 381866002463362.44 -394645978970.194 1948519873.3815844
6818626.864259346 216121571650710.53 -389194054748.2651 1940775355.866154
6837910.558372778 318893365953700.0 -388065562011.22925 1933090110.1830914
6857117.952647921 139425776770260.38 -383103957926.5219 1925457894.5579576
6876249.676460185 231199709196221.2 -382629543582.6441 1917871106.9928277
6895306.004983547 41048713884619.99 -378434641564.27673 1910321055.3945076
6914287.394519164 132435351870545.66 -378935798100.09485 1902797988.743022
6933193.9260817375 -55351485660666.305 -375747715834.44434 1895292117.6302207
6952025.8610487785 41996420891828.4 -377267967211.1665 1887793886.9805229
6970783.0901772985 -130220239038454.08 -375135295127.138 1880294332.5923483
6989465.696352417 -17819928738528.598 -377550787545.219 1872786033.5619996
7008073.422568423 -179702147673784.72 -376116525811.55786 1865263060.9625208
7026606.233655487 -41054251495792.01 -379285969287.52686 1857720510.2047184
7045063.774949246 -191627310713761.6 -378195617087.6822 1850156078.3295617
7063445.965424068 -33825235881424.71 -381674481651.1589 1842568583.3287694
7081752.426879807 -178251356538682.38 -380573356460.576 1834958741.7339559
7099983.092558187 -8518951732024.891 -384037828614.51025 1827327879.3541317
7118137.6106581595 -143610381210994.4 -382777692730.85864 1819678504.5187285
7136215.96436652 38653305186769.76 -386022044216.0006 1812014050.800902
7154217.870250461 -82287971369198.67 -384433145405.79 1804339193.8598561
7172143.404597049 113245787418225.19 -387199095300.06195 1796660011.9014835
7189992.405000818 214134758371.40186 -384946312333.393 1788983898.4458067
7207765.094966305 201889473634391.44 -386952028718.21814 1781319031.0055642
7225461.474916131 88778421303759.88 -383815932520.8417 1773674195.8397634
7243081.943304087 293643978140483.2 -384971677969.815 1766058171.33741
7260626.675345342 168373619351798.9 -380801032047.80096 1758480052.0982003
7278096.250582523 365913876207466.06 -381091410550.14435 1750947727.505526
7295491.001321747 222009535896393.97 -376015739754.813 1743468360.867571
7312811.649739203 405986760036711.6 -375637095979.8131 1736047268.5139582
7330058.633998107 251006054240586.06 -370052191221.1351 1728688422.4222937
7347232.755363431 431399159552384.06 -369349179694.6512 1721394696.693728
7364334.509226596 262482356138086.62 -363372527424.29315 1714168610.175723
7381364.747007081 436761176434617.5 -362494386752.94727 1707011300.385967
7398323.986746208 263537918396353.03 -356421476685.50726 1699923298.8013322
7415213.090446054 434037658824487.44 -355495203069.7756 1692904710.047921
7432032.578231225 255318471802869.03 -349394691306.26263 1685955264.1738381
7448783.3067286005 422266485472195.25 -348514888782.54126 1679074146.477104
7465465.779840693 242402485350105.72 -342520171407.39343 1672260190.2127159
7482080.83096252 407201986632563.1 -341747568179.22736 1665512115.1631289
7498628.9385053 222649037820979.8 -335856148166.0786 1658828428.1527507
7515110.906132405 387270973456939.8 -335278439370.3696 1652207171.2428536
7531527.173269184 194371272314817.06 -329502350454.83795 1645646368.894608
7547878.504242696 368336409229918.9 -329299190147.5738 1639143218.248808
7564165.282668632 173984317000156.53 -323697151026.1459 1632695842.5334857
7580388.235504351 353778509751153.44 -323754993244.62354 1626302221.017358
7596547.70612937 155978823795497.28 -318263566597.6076 1619960910.7383723
7612644.392769239 336170163921672.6 -318504622640.781 1613670127.0129979
7628678.603267413 138039394140766.58 -313185205724.56134 1607428124.52249
7644651.001097195 322929880926785.06 -313651647909.17035 1601233125.1314607
7660561.858696365 130014922125883.73 -308515976991.36554 1595083816.4784687
7676411.813406892 322427553111946.56 -309137198866.689 1588979403.1871874
7692201.121829271 129348906728572.08 -304004899398.29724 1582919835.467469
7707930.420314066 323274163141529.8 -304647811482.5488 1576905047.3046422
7723599.964147306 127736154653628.69 -299482598270.2453 1570935122.6137073
7739210.391350446 327078643590333.06 -300195499786.7396 1565009901.5405562
7754761.95402655 130174018777614.22 -294978803940.0043 1559129761.1808624
7770255.297705684 327356986767398.7 -295645934606.4823 1553294943.1728811
7785690.679302337 124406080596119.12 -290366271782.45746 1547505475.105663
7801068.74489592 319220301184797.8 -291067244263.1071 1541760785.2678902
7816389.740017186 113915201888761.3 -285845151033.85846 1536060067.160757
7831654.294686791 315160453255106.94 -286714595410.95447 1530402280.9405756
7846862.633730443 106302021336950.77 -281497544969.16345 1524787024.1999445
7862015.379156191 309428980277688.1 -282461518974.30145 1519213542.3292692
7877112.7407641895 101254233227025.89 -277308336845.32684 1513681267.2316177
7892155.329250718 309048487003834.06 -278369032703.8053 1508189698.5761082
7907143.344453499 100402264331943.92 -273214944768.82053 1502738798.64869
7922077.396317859 306086474504760.3 -274263115431.31046 1497328483.003197
7936957.683000059 103783011549917.6 -269201664359.93304 1491958458.048399
7951784.808599526 -1870498579199222.0 -248512776691.7015 1486629058.8800244
7966558.977944843 3786967638424437.0 -323460022258.32446 1481124544.920808
7981276.4993762355 20095793887419.93 -248255172344.68677 1475809989.1442251
7995944.846941664 -345092219469909.0 -244419346740.5643 1470872785.0641336
8010564.060302658 21166522324187.74 -251501446168.07864 1465903367.7165916
8025133.458377136 -75065872657919.84 -250332640823.97238 1460901843.2309554
8039653.082939843 169273983222198.28 -253512594532.34125 1455894976.304446
