0.0 0.0022614762858167016 233
772340.2646571331 -1772676100.0780618 -104097285.41962066 -6226012.268335042
770777.4239786401 4090801133.586644 -106006085.16302402 -6278386.699742266
769201.4636410432 -3283069383.6503935 -103140275.46161462 -6330616.2845473
767612.5114339527 2654574819.598401 -105445165.75904302 -6382795.398735883
766010.4647999126 -4726342437.723031 -102936606.29668461 -6435013.784016738
764395.406663287 1006515774.2001694 -105551079.66354698 -6487361.622409773
762767.1893812452 -6335108165.044331 -103464305.57106733 -6539941.891860305
761125.8443956134 -642737169.4851874 -106470799.56513299 -6592855.115095082
759471.1738084796 -7625177163.0886135 -104886071.941807 -6646204.344659415
757803.157541837 -1859293956.6090124 -108233418.63329054 -6700070.189712971
756121.5573982307 -8186299371.730561 -107116630.36137357 -6754528.666050601
754426.3152965067 -1933475483.358958 -110725960.02900125 -6809614.835044816
752717.1755107152 -6947218596.947477 -109955989.36376111 -6865333.331882224
750994.0776423984 927384906.109235 -113660981.78399973 -6921606.7333705975
749256.8046723641 -514242641.6737159 -113068802.68984279 -6978256.280426296
747505.3855705262 15491545199.864166 -117198294.14571506 -7034880.01254434
745739.8042728265 -61488946320.82916 -94083174.23518835 -7090567.897219232
743960.544708564 -15683379620.514576 -120903450.09566905 -7149129.900919459
742165.6860685295 7541920380.5339155 -130629404.30742186 -7212513.969449698
740354.7384308459 -7578227645.273189 -124964595.2774787 -7276406.752001279
738527.9373921691 -12528803541.90601 -125621426.11419678 -7340301.803189739
736685.0462216666 -7149262166.697962 -130097952.80094516 -7405453.229727014
734825.6735410067 -11723643948.075897 -130741592.44568399 -7471834.227971745
732949.596019503 -6221036312.791036 -135047617.11085996 -7539394.488027057
731056.4474306281 -10382926379.121223 -135562339.33486784 -7608076.010277283
729146.033439879 -4690787114.301119 -139580603.48378184 -7677795.020818275
727218.0297024457 -8500509143.686575 -139800842.22630817 -7748455.902979802
725272.2896861851 -2699494314.2977495 -143375776.371428 -7819941.035090672
723308.5478497726 -6293766390.937704 -143152109.88799956 -7892125.992457707
721326.7198656366 -490547691.20435315 -146175978.19286236 -7964872.8881313205
719326.6091273106 -3969062702.4867787 -145429079.72127056 -8038043.697454444
717308.2003109264 1435725395.270012 -147772249.53731692 -8111493.162761728
715271.3694297735 -2173049861.718346 -146511281.9886133 -8185100.92207639
713216.1613334503 2875492683.2490945 -148316454.45314133 -8258754.752652146
711142.5081396069 -1138078456.0512002 -146594403.74487314 -8332364.691524713
709050.499673702 3412540822.9777966 -148016400.4364554 -8405866.06914896
706940.100384117 -868988540.8258518 -146093123.28941238 -8479225.328405604
704811.4168727736 3159155748.0238113 -147317253.4869281 -8552425.65537852
702664.4219939602 -1363889627.566666 -145396943.23480737 -8625482.882676652
700499.2144342834 2015215999.21876 -146582543.8544985 -8698427.933886861
698315.751588171 -2846474671.8874598 -144863532.0544173 -8771332.287373487
696114.0964075137 155244927.52816558 -146325397.89664274 -8844288.581541706
693894.1599733257 -4808748885.121185 -145045748.16116259 -8917413.035528123
691655.9471351921 -2196072295.4069524 -146900872.64895144 -8990828.260817554
689399.3076760463 -7278632586.841739 -146179340.83767033 -9064681.178005507
687124.1729943568 -4884483673.452728 -148597233.9886885 -9139126.116240257
684830.3157181271 -9951908083.327497 -148551504.5205105 -9214331.059236132
682517.5832644653 -7588606072.06546 -151629922.25797704 -9290463.044951292
680185.6647528341 -12349742938.641022 -152336701.2156666 -9367691.038793424
677834.3231281968 -9765693155.493162 -156069682.79284993 -9446164.8679834
675463.1726057676 -13915046327.88828 -157473592.3072456 -9526020.566454742
673071.908122044 -10734844473.989351 -161746870.21518064 -9607355.941217013
670660.0949948475 -14137904909.034674 -163579587.14484373 -9690231.549088093
668227.3978860507 -10450039930.512274 -168035472.65425995 -9774661.315247942
665773.3751517555 -13413355695.64043 -169906919.77444938 -9860627.44386165
663297.7003506395 -9501157991.650991 -174237766.7910345 -9948084.661921864
660799.9544724794 -12123126895.234205 -175957349.12421522 -10036973.679130288
658279.8407173972 -8073043145.161952 -180000146.45691323 -10127213.876342101
655736.9803797036 -10368280268.976364 -181444417.4359119 -10218716.01868858
653171.121271379 -6175090349.591452 -185084330.01289836 -10311370.455668787
650581.9395051327 -8204169994.15263 -186120703.14789176 -10405058.594881715
